TITLE,YOUTUBE_URL,START_TIME,END_TIME,SAMPLE_TYPE,DESCRIPTION,GENRE,DECADE,START_SECONDS,END_SECONDS,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,RESOLUTION,QUERY_USED,TIMESTAMP_LOADED,YOUTUBE_RANK,VIDEO_DURATION,ARTIST,CHATGPT_PROMPT
Rhiannon Giddens - Wayfaring Stranger,https://www.youtube.com/watch?v=b1Z4PAZX9Bs,,,isolated vocals,"This video likely features a soulful rendition of a traditional folk song, with strong vocal performance and acoustic instrumentation, offering rich sampling potential for vocals and instrumental sections.",Folk,2010s,0,0,149,4493029,82166,2321,480x360,Rhiannon Giddens,2025-04-16 17:35:49.013 Z,1,,Rhiannon Giddens,Give me a list of 10 artists who use traditional instruments in a way that results in clear isolated grooves. List only the names—no extra explanation.
Trilok Gurtu | India Tour 2023 | Opening Solo,https://www.youtube.com/watch?v=XsZxs9DL7B8,,,isolated percussion,"This video likely features an opening solo performance by Trilok Gurtu, known for his fusion of Indian classical music with jazz and world music. The performance could contain complex rhythms and percussion that are useful for producers looking for unique and intricate percussion samples.",World Music,2020s,0,0,336,13137,249,9,480x360,Trilok Gurtu,2025-04-16 00:00:04.561 Z,1,,Trilok Gurtu,Give me a list of 10  Asian artists known for percussion or rhythm sections ideal for sampling. List only the names—no extra explanation.
Hujia-Chamber Music by ZHANG Weiliang and NCPAO,https://www.youtube.com/watch?v=0xuO_IIWQnI,,,instrumental section,"This video likely contains traditional Chinese chamber music, which is useful for its unique instrumental sections that can add an authentic cultural element to a music producer's work. The music may include traditional Chinese instruments such as the dizi or guzheng, providing rich textures and melodies.",World Music,2010s,0,0,513,130,5,0,480x360,Zhang Weiliang,2025-04-16 00:00:04.561 Z,1,,ZHANG Weiliang and NCPAO,Give me a list of 10  Asian artists known for percussion or rhythm sections ideal for sampling. List only the names—no extra explanation.
Pansori: South Korea’s Authentic Musical Storytelling,https://www.youtube.com/watch?v=8Kt7YdXsWzg,,,isolated vocals,"This video likely contains traditional Korean Pansori, which can offer unique vocal melodies and rhythms for sampling. A music producer could utilize isolated vocals or the distinctive storytelling elements to add an authentic cultural touch to a track.",World Music,Traditional,0,0,273,931077,8740,369,480x360,Pansori Artists,2025-04-16 00:00:04.561 Z,1,,Traditional Korean Artists,Give me a list of 10  Asian artists known for percussion or rhythm sections ideal for sampling. List only the names—no extra explanation.
"O Re Piya   Rolling in the Deep - Shankar Tucker ft, Rohan Kymal, Brendan Susens-Jackson",https://www.youtube.com/watch?v=t-y0EnReO74,,,live performance,"This video likely contains a fusion of Indian classical elements with a Western pop song, which can provide unique sampling opportunities. The blend of traditional instruments and modern vocals could offer a diverse range of sounds for a music producer looking for a fusion or crossover sample.",World Music,2010s,0,0,258,377677,4174,194,480x360,Shankar Tucker,2025-04-16 00:00:04.561 Z,1,,Shankar Tucker,Give me a list of 10  Asian artists known for percussion or rhythm sections ideal for sampling. List only the names—no extra explanation.
Tan Dun - For The World (Hero Soundtrack),https://www.youtube.com/watch?v=HCkbfapn-I4,,,instrumental section,"The video likely contains an orchestral soundtrack composition that can be useful for sampling lush instrumental sections, dramatic soundscapes, or unique orchestral textures that could add depth and emotion to a music producer's work.",Classical,2000s,0,0,260,2222750,11556,1034,480x360,Tan Dun,2025-04-16 00:25:18.894 Z,1,,Tan Dun,Give me a list of 10  Asian artists known for percussion or rhythm sections ideal for sampling. List only the names—no extra explanation.
A word from Yasunori Mitsuda | Sea of Stars,https://www.youtube.com/watch?v=1-ZB-IX-sfc,,,instrumental section,"The video likely features music composed by Yasunori Mitsuda, known for his work on video game soundtracks. This could be useful for sampling due to its melodic and atmospheric qualities, often instrumental and orchestral, which can add depth and emotion to a track.",Classical,2020s,0,0,80,38129,2146,163,480x360,Yasunori Mitsuda,2025-04-16 00:25:18.894 Z,1,,Yasunori Mitsuda,Give me a list of 10  Asian artists known for percussion or rhythm sections ideal for sampling. List only the names—no extra explanation.
#TBT Abhijit Banerjee's Lesson On Saving at MIT,https://www.youtube.com/watch?v=Ap9NA5P93uU,,,isolated vocals,"This video likely contains a lecture or talk by Abhijit Banerjee at MIT, focusing on economic concepts related to saving. Its sampling potential for a music producer might come from spoken word elements or intellectual discussions that can be creatively integrated into a track, especially for genres that value narrative and storytelling.",World Music,2010s,0,0,206,461223,10049,315,480x360,Abhijit Banerjee,2025-04-16 00:25:18.894 Z,1,,Abhijit Banerjee,Give me a list of 10  Asian artists known for percussion or rhythm sections ideal for sampling. List only the names—no extra explanation.
What if UNHOLY was with Ethnic instruments? 😏,https://www.youtube.com/watch?v=fZiswfivxaM,,,remix,"This video likely features a version of the song 'Unholy' with ethnic instruments, providing a unique cultural twist on the original track. It could offer diverse instrumental sections or breakdowns for a music producer looking to incorporate world music elements into their projects.",World Music,2020s,0,0,61,7828715,627628,4526,480x360,Ethnic Instruments Studio,2025-04-15 22:00:02.191 Z,1,0,Sam Smith,"Give me a list of 10 YouTube creators who post isolated instrument recordings—especially percussion, bass, or ethnic instruments—ideal for sampling in Afro, Latin, funk, or world music. List only the names—no extra explanation"
"Pride Of The Pack 6 February, 2025",https://www.youtube.com/watch?v=7EgjtBnMrNI,,,live performance,"The video likely contains a live performance or a track from a rock band, which could be useful for sampling distinctive guitar riffs, vocal shouts, or drum patterns typical of rock music.",Rock,2020s,0,0,74,6,0,0,480x360,Timpanogos High School Percussion,2025-04-15 22:00:02.191 Z,1,0,Unknown,"Give me a list of 10 YouTube creators who post isolated instrument recordings—especially percussion, bass, or ethnic instruments—ideal for sampling in Afro, Latin, funk, or world music. List only the names—no extra explanation"
Jimmy Cliff - I Can See Clearly Now (Video Version),https://www.youtube.com/watch?v=MrHxhQPOO2c,,,full track,"The video likely contains a reggae version of the popular song 'I Can See Clearly Now,' performed by Jimmy Cliff. This track is useful for sampling due to its upbeat and positive reggae rhythms that can provide a lively instrumental section or an uplifting full track for remixing.",Reggae,1990s,0,0,201,133622841,896569,21088,480x360,Jimmy Cliff,2025-04-15 21:43:47.822 Z,1,0,Jimmy Cliff,Give me a list of 10 African or Caribbean artists known for stripped-down vocal intros or rhythm sections ideal for sampling. List only the names—no extra explanation.
Christian Nodal - Amé (Video Oficial),https://www.youtube.com/watch?v=wCdGS39d96w,,,full track,"This song likely features elements of regional Mexican music, such as mariachi or norteño, which can provide rich instrumental sections and emotive vocal lines for sampling. This could be particularly useful for producers looking for traditional Latin sounds or unique vocal expressions.",World Music,2020s,0,0,226,3003534,110264,14080,480x360,Âme,2025-04-15 13:58:02.997 Z,1,0,Christian Nodal,"Give me a list of 10 artists whose music features sparse arrangements and clean percussive elements, ideal for use in Afro-house or tribal edits. List only the names—no extra explanation."
A PAPA Y MAMA GRUPO FOLKLORICO Y EXPERIMENTAL NUEVAYORQUINO,https://www.youtube.com/watch?v=7A_zQCP6eVY,,,live performance,"This video likely contains a rich blend of folkloric and experimental sounds that are characteristic of the Grupo Folklorico y Experimental Nuevayorquino. It may offer unique textures and rhythms suitable for sampling, particularly for music producers looking for authentic Latin jazz elements.",Latin Jazz,1970s,0,0,473,188639,2016,155,480x360,Grupo Folklórico y Experimental Nuevayorquino,2025-04-14 12:36:08.364 Z,1,0,Grupo Folklorico y Experimental Nuevayorquino,Give me a list of 10 vintage percussion-heavy artists from the 1960s to 1980s ideal for use in Afro-Latin electronic production. List only the names—no extra explanation.
"Aniceto Molina ""El Machito"" (Video Oficial) MASTER",https://www.youtube.com/watch?v=LCT7aSnIa08,,,full track,"This video likely contains a classic cumbia track by Aniceto Molina, known for his energetic and danceable music. It has potential for sampling rhythmic and melodic elements typical of cumbia, which can be used to add a Latin flair to modern productions.",Cumbia,1990s,0,0,179,7590943,26382,591,480x360,Machito,2025-04-14 12:36:08.364 Z,1,0,Aniceto Molina,Give me a list of 10 vintage percussion-heavy artists from the 1960s to 1980s ideal for use in Afro-Latin electronic production. List only the names—no extra explanation.
Cal Tjader - Morning - Here and Now.mpg,https://www.youtube.com/watch?v=ad37bKFVoe4,,,instrumental section,"This track likely contains rich Latin jazz elements with vibrant percussion, melodic vibraphone lines, and smooth rhythms, making it ideal for sampling instrumental sections or isolated percussion.",Latin Jazz,1970s,0,0,472,66038,726,38,480x360,Cal Tjader,2025-04-14 12:36:08.364 Z,1,0,Cal Tjader,Give me a list of 10 vintage percussion-heavy artists from the 1960s to 1980s ideal for use in Afro-Latin electronic production. List only the names—no extra explanation.
"SOFRITO (MONGO SANTAMARÍA, 1973)",https://www.youtube.com/watch?v=qT5PknGDbSc,,,isolated percussion,"This track likely contains rich percussion and rhythmic patterns characteristic of Latin Jazz, offering excellent potential for sampling isolated percussion and instrumental sections.",Latin Jazz,1970s,0,0,251,54120,1500,65,480x360,Mongo Santamaría,2025-04-14 12:36:08.364 Z,1,0,Mongo Santamaría,Give me a list of 10 vintage percussion-heavy artists from the 1960s to 1980s ideal for use in Afro-Latin electronic production. List only the names—no extra explanation.
Ray Barretto - Indestructible,https://www.youtube.com/watch?v=ZCLeS1ICPuo,,,full track,"This video likely features a classic salsa track known for its vibrant rhythms and energetic brass sections. It would be useful for sampling lively percussion, brass riffs, and dynamic vocal lines, which are characteristic of Ray Barretto's music.",Salsa,1970s,0,0,283,693827,7879,192,480x360,Ray Barretto,2025-04-14 12:36:08.364 Z,1,0,Ray Barretto,Give me a list of 10 vintage percussion-heavy artists from the 1960s to 1980s ideal for use in Afro-Latin electronic production. List only the names—no extra explanation.
Tito Puente - Oye Como Va (Video Oficial),https://www.youtube.com/watch?v=zZQh4IL7unM,,,instrumental section,"This video likely contains vibrant and rhythmic Latin Jazz music with strong percussion elements, making it useful for sampling lively and energetic beats. The track's distinct Latin flair provides rich instrumental sections and rhythmic patterns ideal for music producers looking to incorporate Latin influences or upbeat percussion into their compositions.",Latin Jazz,1960s,0,0,261,8117534,67039,1802,480x360,Tito Puente,2025-04-14 12:36:08.364 Z,1,0,Tito Puente,Give me a list of 10 vintage percussion-heavy artists from the 1960s to 1980s ideal for use in Afro-Latin electronic production. List only the names—no extra explanation.
Black Uhuru - Guess whos coming to dinner,https://www.youtube.com/watch?v=KWEGXb2juvM,,,full track,"The song likely contains a classic reggae rhythm with distinctive basslines and drum patterns, which are useful for sampling due to their groove and vibe. The vocals may also offer isolated segments for vocal sampling.",Reggae,1980s,0,0,361,9150115,56543,2054,480x360,Black Uhuru,2025-04-14 12:31:24.472 Z,1,0,Black Uhuru,"Give me a list of 10 rare or obscure musicians whose tracks include extended drum breaks or acapella sections suitable for sampling in Afrobeat, salsa, funk, or cumbia. List only the names—no extra explanation."
Sly & The Family Stone Thank You (Falettinme Be Mice Elf Agin) HQ Audio,https://www.youtube.com/watch?v=wj5VODa-eTY,,,instrumental section,"This track is a quintessential funk anthem with strong, rhythmic bass lines and vibrant horn sections ideal for sampling. It offers rich grooves and energetic vibes that can be used to create upbeat, danceable tracks in modern music production. The song's structure includes several instrumental sections and breakdowns that are perfect for creating loops or adding funk elements to new compositions.",Funk,1960s,0,0,292,2139990,28556,1939,480x360,Sly & The Family Stone,2025-04-14 12:31:24.472 Z,1,0,Sly & The Family Stone,"Give me a list of 10 rare or obscure musicians whose tracks include extended drum breaks or acapella sections suitable for sampling in Afrobeat, salsa, funk, or cumbia. List only the names—no extra explanation."
Eddie Palmieri - Vámonos pa'l Monte (Official Audio),https://www.youtube.com/watch?v=Rn85kvb4bTk,,,instrumental section,This track likely features vibrant Latin rhythms and energetic piano sections characteristic of Eddie Palmieri's style. It could provide rich instrumental sections and lively breakdowns ideal for sampling in upbeat and dance-oriented productions.,Salsa,1970s,0,0,427,1208699,13010,274,480x360,Eddie Palmieri,2025-04-14 12:31:24.472 Z,1,0,Eddie Palmieri,"Give me a list of 10 rare or obscure musicians whose tracks include extended drum breaks or acapella sections suitable for sampling in Afrobeat, salsa, funk, or cumbia. List only the names—no extra explanation."
Tania Maria - Come With Me,https://www.youtube.com/watch?v=WRaiTuw9Z0A,,,instrumental section,"This video likely contains a performance by Tania Maria, known for her blend of jazz with Brazilian and Latin influences. The track 'Come With Me' probably features energetic piano playing, rhythmic percussion, and distinctive vocal styles, making it useful for sampling instrumental sections, isolated vocals, or the entire track for vibrant and rhythmic productions.",Latin Jazz,1980s,0,0,338,1653846,16379,930,480x360,Tania Maria,2025-04-14 12:31:24.472 Z,1,0,Tania Maria,"Give me a list of 10 rare or obscure musicians whose tracks include extended drum breaks or acapella sections suitable for sampling in Afrobeat, salsa, funk, or cumbia. List only the names—no extra explanation."
Pucho & His Latin Soul Brothers - Got Myself A Good Man,https://www.youtube.com/watch?v=vHKyFXKvdv0,,,instrumental section,"This track likely features a blend of Latin rhythms and jazz elements, providing rich instrumental sections and lively percussion that can be sampled for its vibrant and energetic feel. The combination of brass, percussion, and possibly piano or organ offers a diverse palette of sounds for sampling.",Latin Jazz,1960s,0,0,345,68668,822,34,480x360,Pucho & His Latin Soul Brothers,2025-04-14 12:31:24.472 Z,1,0,Pucho & His Latin Soul Brothers,"Give me a list of 10 rare or obscure musicians whose tracks include extended drum breaks or acapella sections suitable for sampling in Afrobeat, salsa, funk, or cumbia. List only the names—no extra explanation."
Los Ángeles Negros - Murió La Flor (En Vivo),https://www.youtube.com/watch?v=jUWBXnTxxMI,,,live performance,"This live performance video likely features rich vocal harmonies and emotive instrumentation typical of Los Ángeles Negros, making it useful for sampling soulful vocal lines or instrumental sections. The performance atmosphere can provide unique ambient sounds as well.",Bolero,1970s,0,0,244,114798326,296127,7073,480x360,Los Angeles Negros,2025-04-14 12:31:24.472 Z,1,0,Los Ángeles Negros,"Give me a list of 10 rare or obscure musicians whose tracks include extended drum breaks or acapella sections suitable for sampling in Afrobeat, salsa, funk, or cumbia. List only the names—no extra explanation."
Willie Bobo-Fried Neckbones and some home fries,https://www.youtube.com/watch?v=oJ7ZHTLf4Og,,,instrumental section,"This track likely contains rhythmic Latin jazz elements, featuring percussion and possibly brass or woodwind sections that could be useful for sampling in genres that appreciate complex rhythms and a lively, energetic feel.",Latin Jazz,1960s,0,0,183,538606,6735,379,480x360,Willie Bobo,2025-04-14 12:31:24.472 Z,1,0,Willie Bobo,"Give me a list of 10 rare or obscure musicians whose tracks include extended drum breaks or acapella sections suitable for sampling in Afrobeat, salsa, funk, or cumbia. List only the names—no extra explanation."
Sizzla Kalonji - Solid As A Rock (Official Audio),https://www.youtube.com/watch?v=XPLYvi4mh_w,,,full track,"This track likely contains classic reggae elements such as a steady rhythm, prominent bassline, and potentially some melodic or vocal elements that could be isolated for sampling. The vocals and lyrics might be particularly useful for producers looking for authentic reggae sounds or conscious themes.",Reggae,2000s,0,0,215,4752604,21794,303,480x360,Sizzla,2025-04-14 12:30:47.571 Z,1,0,Sizzla Kalonji,Give me a list of 10 African or Caribbean artists known for stripped-down vocal intros or rhythm sections ideal for sampling. List only the names—no extra explanation.
Les Nubians - Makeda,https://www.youtube.com/watch?v=22HL5ZOOHGI,,,isolated vocals,"The song 'Makeda' by Les Nubians is likely to contain rich, smooth harmonies and soulful melodies typical of Neo Soul. It can be useful for sampling due to its unique blend of African rhythms and modern soul elements, offering potential for isolated vocal samples, instrumental sections, and harmonic textures.",Neo Soul,1990s,0,0,238,1217399,14164,1058,480x360,Les Nubians,2025-04-14 12:30:47.571 Z,1,0,Les Nubians,Give me a list of 10 African or Caribbean artists known for stripped-down vocal intros or rhythm sections ideal for sampling. List only the names—no extra explanation.
"Angelique Kidjo - ""Agolo""",https://www.youtube.com/watch?v=dlgESq5FAx4,,,isolated vocals,"The song 'Agolo' by Angelique Kidjo likely includes rich African rhythms, vibrant vocals, and dynamic instrumental sections, making it a good source for sampling both vocals and instrumentals. Its world music influences can add a unique and diverse element to music production projects.",World Music,1990s,0,0,248,7966965,80156,5841,480x360,Angelique Kidjo,2025-04-14 12:30:47.571 Z,1,0,Angelique Kidjo,Give me a list of 10 African or Caribbean artists known for stripped-down vocal intros or rhythm sections ideal for sampling. List only the names—no extra explanation.
54-46 Was My Number,https://www.youtube.com/watch?v=wNxNwvjzGM0,,,full track,"This video likely contains a classic reggae track with a strong rhythmic groove and catchy vocal melodies. It is useful for sampling due to its distinct vocal lines, rhythmic elements, and potential instrumental breakdowns that can provide unique sounds for music producers.",Reggae,1960s,0,0,205,29894413,251964,2690,480x360,Toots and the Maytals,2025-04-14 12:30:47.571 Z,1,0,Toots and the Maytals,Give me a list of 10 African or Caribbean artists known for stripped-down vocal intros or rhythm sections ideal for sampling. List only the names—no extra explanation.
Seun Kuti & Egypt 80  - Stand Well - Live at Coachella 2025,https://www.youtube.com/watch?v=owzBJzLWmmo,,,live performance,"This live performance video from Coachella 2025 likely contains energetic and rhythmically complex Afrobeat music, characterized by its rich instrumentation, including horns, percussion, and layered rhythms. It offers potential for sampling dynamic live instrumental sections, vibrant horn lines, and intricate percussion elements.",Afrobeat,2020s,0,0,515,2973,144,20,480x360,Seun Kuti,2025-04-14 12:30:47.571 Z,1,0,Seun Kuti & Egypt 80,Give me a list of 10 African or Caribbean artists known for stripped-down vocal intros or rhythm sections ideal for sampling. List only the names—no extra explanation.
Thanayi,https://www.youtube.com/watch?v=gxvxhHVWa_Y,,,full track,"The video likely contains rich, culturally significant music with a blend of African rhythms and melodies, providing unique vocal and instrumental textures for sampling.",World Music,1960s,0,0,332,5632888,30261,481,480x360,Hugh Masekela,2025-04-15 21:43:47.822 Z,1,0,Miriam Makeba,Give me a list of 10 African or Caribbean artists known for stripped-down vocal intros or rhythm sections ideal for sampling. List only the names—no extra explanation.
Miriam Makeba - Pata Pata (Live on The Ed Sullivan Show 1967),https://www.youtube.com/watch?v=lNeP3hrm__k,,,live performance,This video likely contains a live performance of Miriam Makeba's hit song 'Pata Pata'. The live setting can provide unique vocal nuances and audience interactions that are not present in studio recordings. This makes it valuable for sampling live vocals and the energetic atmosphere of a 1960s performance.,World Music,1960s,0,0,212,17954742,202161,9660,480x360,Miriam Makeba,2025-04-14 12:30:47.571 Z,1,0,Miriam Makeba,Give me a list of 10 African or Caribbean artists known for stripped-down vocal intros or rhythm sections ideal for sampling. List only the names—no extra explanation.
Erykah Badu - On & On (Remix Edit),https://www.youtube.com/watch?v=-CPCs7vVz6s,,,remix,"This video likely contains a remix edit of Erykah Badu's song 'On & On', which could offer unique instrumental sections, isolated vocals, or creative breakdowns for sampling. The remix aspect might provide fresh interpretations or variations of the original track, valuable for producers looking to add a Neo Soul vibe or a modern twist to their projects.",Neo Soul,1990s,0,0,281,72176760,611267,14210,480x360,Erykah Badu,2025-04-14 12:30:47.571 Z,1,0,Erykah Badu,Give me a list of 10 African or Caribbean artists known for stripped-down vocal intros or rhythm sections ideal for sampling. List only the names—no extra explanation.
Bob Marley - Is This Love (Official Music Video),https://www.youtube.com/watch?v=69RdQFDuYPI,,,full track,"This video likely features the classic reggae sound of Bob Marley, characterized by its laid-back rhythm and soulful vocals, making it useful for sampling smooth instrumental sections and iconic vocal lines.",Reggae,1970s,0,0,234,184773706,1520271,23019,480x360,Bob Marley,2025-04-14 12:30:47.571 Z,1,0,Bob Marley,Give me a list of 10 African or Caribbean artists known for stripped-down vocal intros or rhythm sections ideal for sampling. List only the names—no extra explanation.
Marva Whitney & the J.B.'S - It's my Thing.Rare Live 1969 Filmed TV Performance,https://www.youtube.com/watch?v=7PKpQwQ4ZGQ,,,live performance,"This video likely contains a high-energy live performance with powerful vocals and tight, rhythmic instrumentation typical of funk. It could be particularly useful for sampling live performance elements, dynamic vocal sections, and instrumental grooves.",Funk,1960s,0,0,210,388362,3431,332,480x360,Marva Whitney,2025-04-14 12:27:54.059 Z,1,0,Marva Whitney & the J.B.'s,"Give me a list of 10 rare or obscure musicians whose tracks include extended drum breaks or acapella sections suitable for sampling in Afrobeat, salsa, funk, or cumbia. List only the names—no extra explanation."
Dave Grusin & Lee Ritenour - MOUNTAIN DANCE (Live),https://www.youtube.com/watch?v=takOVYOOucA,,,live performance,"This video likely contains a live jazz performance featuring intricate instrumental sections, particularly focusing on piano and guitar. It offers rich sampling potential for instrumental sections and live performance elements.",Jazz,1980s,0,0,465,995446,8938,495,480x360,Dave Grusin,2025-04-14 12:27:54.059 Z,1,0,Dave Grusin & Lee Ritenour,"Give me a list of 10 rare or obscure musicians whose tracks include extended drum breaks or acapella sections suitable for sampling in Afrobeat, salsa, funk, or cumbia. List only the names—no extra explanation."
The End Is Not in Sight (The Cowboy Tune) (Remastered),https://www.youtube.com/watch?v=9ENImCD-q6g,,,instrumental section,"This track likely contains a blend of country rock with soulful elements, potentially useful for its instrumental sections and distinct lyrical content.",Rock,1970s,0,0,231,514025,4753,37,480x360,The Amazing Rhythm Aces,2025-04-14 12:27:54.059 Z,1,0,Amazing Rhythm Aces,"Give me a list of 10 rare or obscure musicians whose tracks include extended drum breaks or acapella sections suitable for sampling in Afrobeat, salsa, funk, or cumbia. List only the names—no extra explanation."
Lonnie Liston Smith - Expansions (Official Audio),https://www.youtube.com/watch?v=T5R3_SbE7XQ,,,instrumental section,"This video likely contains the official audio of 'Expansions' by Lonnie Liston Smith, which is a classic jazz-funk track. It is known for its rich instrumental sections, including notable keyboard and saxophone solos, making it useful for sampling by music producers looking for lush, atmospheric textures and grooves.",Jazz,1970s,0,0,368,2874646,36362,2010,480x360,Lonnie Liston Smith,2025-04-14 12:27:54.059 Z,1,0,Lonnie Liston Smith,"Give me a list of 10 rare or obscure musicians whose tracks include extended drum breaks or acapella sections suitable for sampling in Afrobeat, salsa, funk, or cumbia. List only the names—no extra explanation."
